geo;1week;1month;3month;6month;12month;Period;CV_PLI;CV_VI_HAB;INX_A_AVG;RCH_A_AVG;DW_XST;DW_NW;DW_EXST_ind;DW_NEW_ind;TOTAL_ind;DW_EXST;DW_NEW;TOTAL
EU27_2020;0,34;0,397;0,634;0,944;1,212;2010.Q1;28,3;44,5;93,03;1,8;734,01;266,01;98,98;100,62;99,36;0;0;0
EU27_2020;0,42;0,485;0,767;1,041;1,306;2010.Q2;28,3;44,5;93,03;1,8;734,01;266,01;100,25;101,12;100,41;0;0;0
EU27_2020;0,52;0,625;0,892;1,146;1,433;2010.Q3;28,3;44,5;93,03;1,8;734,01;266,01;100,68;101,37;100,8;0;0;0
EU27_2020;0,612;0,782;1,006;1,227;1,507;2010.Q4;28,3;44,5;93,03;1,8;734,01;266,01;100,35;101,81;100,68;0;0;0
EU27_2020;0,792;0,968;1,239;1,546;1,996;2011.Q1;28,1;44,3;95,69;2,9;757,38;242,62;100,59;102,04;100,9;0;0;0
EU27_2020;1,189;1,325;1,547;1,788;2,162;2011.Q2;28,1;44,3;95,69;2,9;757,38;242,62;101,5;102,21;101,64;0;0;0
EU27_2020;1,208;1,356;1,554;1,753;2,084;2011.Q3;28,1;44,3;95,69;2,9;757,38;242,62;100,93;101,93;101,15;0;0;0
EU27_2020;0,677;1,024;1,356;1,617;1,947;2011.Q4;28,1;44,3;95,69;2,9;757,38;242,62;99,88;100,53;100,01;0;0;0
EU27_2020;0,317;0,386;0,668;0,946;1,232;2012.Q1;28,8;44,2;98,19;2,6;781,5;218,51;99,28;99,53;99,32;0;0;0
EU27_2020;0,323;0,373;0,653;0,93;1,213;2012.Q2;28,8;44,2;98,19;2,6;781,5;218,51;99,01;99,14;99,04;0;0;0
EU27_2020;0,083;0,115;0,22;0,437;0,684;2012.Q3;28,8;44,2;98,19;2,6;781,5;218,51;98,68;98,55;98,65;0;0;0
EU27_2020;0,081;0,109;0,187;0,32;0,542;2012.Q4;28,8;44,2;98,19;2,6;781,5;218,51;98,05;98,5;98,15;0;0;0
EU27_2020;0,083;0,117;0,211;0,335;0,547;2013.Q1;29;44,4;99,49;1,3;789,56;210,43;96,72;97,42;96,86;0;0;0
EU27_2020;0,094;0,123;0,218;0,335;0,527;2013.Q2;29;44,4;99,49;1,3;789,56;210,43;97,33;97,05;97,27;0;0;0
EU27_2020;0,098;0,128;0,225;0,34;0,539;2013.Q3;29;44,4;99,49;1,3;789,56;210,43;97,36;97,12;97,31;0;0;0
EU27_2020;0,188;0,216;0,287;0,389;0,556;2013.Q4;29;44,4;99,49;1,3;789,56;210,43;96,88;96,87;96,88;0;0;0
EU27_2020;0,199;0,237;0,313;0,418;0,59;2014.Q1;29,1;44,6;99,89;0,4;802,52;197,48;96,92;96,77;96,89;0;0;0
